utt_id,mos,,,,,,,,,,,,,,,
generated_audio_10,2.455078125,,,,,,,,,,,,,,,
generated_audio_10_10,3.29296875,,,,,,,,,,,,,,,
generated_audio_10_20,3.275390625,,,,,,,,,,,,,,,
generated_audio_10_30,2.77734375,,,,,,,,,,,,,,,
generated_audio_10_40,3.021484375,,,,,,,,,,,,,,,
generated_audio_10_50,3.0625,,,,,,,,,,,,,,,
generated_audio_2_10,2.365234375,,,,,,,,,,,,,,,
generated_audio_2_20,3.09375,,,,,,,,,,,,,,,
generated_audio_2_30,2.771484375,,,,,,,,,,,,,,,
generated_audio_2_40,2.896484375,,,,,,,,,,,,,,,
generated_audio_2_50,3,,,,,,,,,,,,,,,
generated_audio_20,3.248046875,,,,,,,,,,,,,,,
generated_audio_3_10,3.27734375,,,,,,,,,,,,,,,
generated_audio_3_20,2.732421875,,,,,,,,,,,,,,,
generated_audio_3_30,3.22265625,,,,,,,,,,,,,,,
generated_audio_3_40,2.9140625,,,,,,,,,,,,,,,
generated_audio_3_50,2.966796875,,,,,,,,,,,,,,,
generated_audio_30,2.91796875,,,,,,,,,,,,,,,
generated_audio_4_10,3.171875,,,,,,,,,,,,,,,
generated_audio_4_20,2.65625,,,,,,,,,,,,,,,
generated_audio_4_30,3.244140625,,,,,,,,,,,,,,,
generated_audio_4_40,2.9921875,,,,,,,,,,,,,,,
generated_audio_4_50,2.64453125,,,,,,,,,,,,,,,
generated_audio_40,3.58984375,,,,,,,,,,,,,,,
generated_audio_5_10,2.7890625,,,,,,,,,,,,,,,
generated_audio_5_20,2.69921875,,,,,,,,,,,,,,,
generated_audio_5_30,3.044921875,,,,,,,,,,,,,,,
generated_audio_5_40,3.15234375,,,,,,,,,,,,,,,
generated_audio_5_50,2.978515625,,,,,,,,,,,,,,,
generated_audio_50,3.30078125,,,,,,,,,,,,,,,
generated_audio_6_10,3.09765625,,,,,,,,,,,,,,,
generated_audio_6_20,3.43359375,,,,,,,,,,,,,,,
generated_audio_6_30,2.923828125,,,,,,,,,,,,,,,
generated_audio_6_40,3.3359375,,,,,,,,,,,,,,,
generated_audio_6_50,3.08203125,,,,,,,,,,,,,,,
generated_audio_7_10,2.876953125,,,,,,,,,,,,,,,
generated_audio_7_20,2.96875,,,,,,,,,,,,,,,
generated_audio_7_30,3.21875,,,,,,,,,,,,,,,
generated_audio_7_40,2.7421875,,,,,,,,,,,,,,,
generated_audio_7_50,3.11328125,,,,,,,,,,,,,,,
generated_audio_8_10,2.37109375,,,,,,,,,,,,,,,
generated_audio_8_20,2.484375,,,,,,,,,,,,,,,
generated_audio_8_30,3.232421875,,,,,,,,,,,,,,,
generated_audio_8_40,3.25390625,,,,,,,,,,,,,,,
generated_audio_8_50,3.119140625,,,,,,,,,,,,,,,
generated_audio_9_10,2.806640625,,,,,,,,,,,,,,,
generated_audio_9_20,2.388671875,,,,,,,,,,,,,,,
generated_audio_9_30,2.796875,,,,,,,,,,,,,,,
generated_audio_9_40,2.935546875,,,,,,,,,,,,,,,
generated_audio_9_50,3.052734375,,,,,,,,,,,,,,,
AVG Utmos,2.97578125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,utt_id,mos,,utt_id,mos,,utt_id,mos,,utt_id,mos
,,,generated_audio_10,2.455078125,,generated_audio_10_20,3.275390625,,generated_audio_10_30,2.77734375,,generated_audio_10_40,3.021484375,,generated_audio_10_50,3.0625
,,,generated_audio_10_10,3.29296875,,generated_audio_2_20,3.09375,,generated_audio_2_30,2.771484375,,generated_audio_2_40,2.896484375,,generated_audio_2_50,3
,,,generated_audio_2_10,2.365234375,,generated_audio_20,3.248046875,,generated_audio_3_30,3.22265625,,generated_audio_3_40,2.9140625,,generated_audio_3_50,2.966796875
,,,generated_audio_3_10,3.27734375,,generated_audio_3_20,2.732421875,,generated_audio_30,2.91796875,,generated_audio_4_40,2.9921875,,generated_audio_4_50,2.64453125
,,,generated_audio_4_10,3.171875,,generated_audio_4_20,2.65625,,generated_audio_4_30,3.244140625,,generated_audio_40,3.58984375,,generated_audio_5_50,2.978515625
,,,generated_audio_5_10,2.7890625,,generated_audio_5_20,2.69921875,,generated_audio_5_30,3.044921875,,generated_audio_5_40,3.15234375,,generated_audio_50,3.30078125
,,,generated_audio_6_10,3.09765625,,generated_audio_6_20,3.43359375,,generated_audio_6_30,2.923828125,,generated_audio_6_40,3.3359375,,generated_audio_6_50,3.08203125
,,,generated_audio_7_10,2.876953125,,generated_audio_7_20,2.96875,,generated_audio_7_30,3.21875,,generated_audio_7_40,2.7421875,,generated_audio_7_50,3.11328125
,,,generated_audio_8_10,2.37109375,,generated_audio_8_20,2.484375,,generated_audio_8_30,3.232421875,,generated_audio_8_40,3.25390625,,generated_audio_8_50,3.119140625
,,,generated_audio_9_10,2.806640625,,generated_audio_9_20,2.388671875,,generated_audio_9_30,2.796875,,generated_audio_9_40,2.935546875,,generated_audio_9_50,3.052734375
,,,,2.850390625,#DIV/0!,#DIV/0!,2.898046875,,#DIV/0!,3.0150390625,,,3.0833984375,,,3.03203125
